공사명,공사규모,면적_연면적,면적_대지면적,면적_건축면적,면적_조경면적,면적_건폐율,면적_용적률,높이_기준층층고,높이_최고높이,주차대수,현장위치,발주년월,공사기간,건축법상용도,연면적,*총공사비,㎡당 공사비,설계특이사항
서남권 스마트선박안전지원센터 건립공사,철근콘크리트조 지하 0층~지상 2층.,"2,775.97㎡","7,900㎡","1,709.14㎡","1,424.73㎡",21.63%,35.14%,4.2m,21m,69대,전라남도 목포시,2021.11,착공일로부터 427 일,업무시설,"2,775.97 ㎡","8,550,082,000 원","3,080,034 원/㎡",
인천권 스마트선박안전지원센터 건립공사,철근콘크리트조 지하 0층~지상 2층.,"2,666.24㎡","7,115.9㎡","1,710.86㎡","1,076.62㎡",24.04%,37.47%,4.2m,21m,45대,인천광역시 중구,2021.11,착공일로부터 427 일,업무시설,"2,666.24 ㎡","8,260,159,910 원","3,098,056 원/㎡",
종암경찰서 신축공사,철골철근콘크리트조 지하 2층~지상 5층.,"14,188.58㎡","4,959㎡","2,153.22㎡",886.14㎡,43.42%,171.05%,0m,0m,114대,서울특별시 성북구,2021.11,착공일로부터 720 일,업무시설중 공공업무시설,"14,188.58 ㎡","35,871,709,842 원","2,528,210 원/㎡",
한전KDN 서울지역본부 사옥 신축 건축공사,철근콘크리트조 지하 4층~지상 12층.,"13,514.35㎡","2,006㎡","1,184.48㎡",318.69㎡,59.05%,388.11%,4.2m,60.3m,94대,서울특별시 강동구,2021.11,착공일로부터 867 일,"일반업무시설, 제1종근린생활시설","13,514.35 ㎡","40,144,508,020 원","2,970,510 원/㎡","대지여건으로 인한 역타공법 적용, 외장 BIPV 사용"
인천지방법원 별관 증축 및 주차타워 설치 공사,철근콘크리트조 지하 1층~지상 5층.,"12,295.4㎡","27,784㎡","1,929.81㎡","6,472.33㎡",6.95%,39.65%,4.5m,27.85m,564대,인천광역시 미추홀구,2021.10,착공일로부터 760 일,"업무시설(공공업무시설), 노유자시설(아동관련시설)","12,295.4 ㎡","26,416,284,694 원","2,148,469 원/㎡","별관 : 연면적 8,079.2㎡, 지하1층~지상5층, 철근콘크리트조
주차타워 : 연면적 4,216.2㎡, 지상3층 4단, 철골조"
김포시의회 청사 건립공사,철골철근콘크리트조 지하 2층~지상 4층.,"6,230.31㎡","28,802.1㎡","1,174.06㎡",300.86㎡,4.08%,12.14%,5.4m,21.3m,73대,경기도 김포시,2021.10,착공일로부터 630 일,업무시설,"6,230.31 ㎡","17,816,524,029 원","2,859,653 원/㎡",
서울특별시교육청 신청사 건립 공사,철근콘크리트조 지하 3층~지상 6층.,"39,937㎡","13,214.2㎡","6,629.52㎡","3,973.1㎡",50.17%,159.75%,4m,36.35m,255대,서울특별시 용산구,2021.10,착공일로부터 974 일,업무시설(공공업무시설),"39,937 ㎡","133,393,576,514 원","3,340,100 원/㎡","내부 중정형 아트리움(1층~6층 중앙부 오픈), 외부 AL 수직루버"
무안군 보건소 이전신축 공사,철근콘크리트조 지하 2층~지상 4층.,"11,154.59㎡","4,412.98㎡","1,742.07㎡","1,032.43㎡",39.48%,98.13%,3.9m,19.8m,169대,전라남도 무안군,2021.08,착공일로부터 365 일,업무시설(공공업무시설),"11,154.59 ㎡","24,350,830,281 원","2,183,032 원/㎡",
동탄9동 행정복지센터 건립공사,철근콘크리트조 지하 1층~지상 3층.,"8,436.12㎡","8,662㎡","3,764.4㎡","2,344.5㎡",43.46%,89.58%,4.8m,15.9m,143대,경기도 화성시,2021.08,착공일로부터 425 일,업무시설(공공업무시설),"8,436.12 ㎡","19,771,704,445 원","2,343,696 원/㎡","고강도콘크리트 말뚝공사, 연료전지, 태양광패널 반영"
김포제조융합혁신센터 건립공사,철근콘크리트조 지하 1층~지상 7층.,"8,692.8㎡","6,120.2㎡","1,970.65㎡","1,151.92㎡",32.2%,118.91%,3.8m,32.5m,96대,경기도 김포시,2021.08,착공일로부터 570 일,"업무시설(공공업무시설), 문화집회시설(전시장), 근린생활시설","8,692.8 ㎡","22,250,760,562 원","2,559,677 원/㎡",
이천시보건소 신축 건축공사,철근콘크리트조 지하 1층~지상 3층.,"6,977.87㎡","16,402.7㎡","2,046.02㎡","1,436.75㎡",12.47%,34.19%,2.7m,14.8m,105대,경기도 이천시,2021.07,착공일로부터 540 일,공공업무시설,"6,977.87 ㎡","19,223,419,969 원","2,754,912 원/㎡",
건강보험심사평가원 의정부지원 사옥 건립공사,철근콘크리트조 지하 1층~지상 5층.,"5,843.81㎡","3,009.9㎡","1,448.04㎡",597.75㎡,48.11%,125.72%,3.9m,21.5m,48대,경기도 의정부시,2021.07,착공일로부터 558 일,업무시설,"5,843.81 ㎡","13,023,975,994 원","2,228,679 원/㎡",
대곶문화복지센터 건립공사,철근콘크리트조 지하 2층~지상 3층.,"5,900.58㎡","4,528㎡","1,194.59㎡",925.71㎡,26.38%,60.84%,4.8m,17.98m,76대,경기도 김포시,2021.06,착공일로부터 548 일,업무시설(행정복합청사),"5,900.58 ㎡","16,085,329,343 원","2,726,059 원/㎡",기존건물 철거후 증축
구의2동 복합청사 건립공사,철근콘크리트조 지하 3층~지상 5층.,"6,139.26㎡","1,506.7㎡",897.61㎡,315.71㎡,59.57%,199.99%,3.95m,5.25m,83대,서울특별시 광진구,2021.06,착공일로부터 760 일,"업무시설,근린생활시설","6,139.26 ㎡","21,232,607,164 원","3,458,496 원/㎡",
미양면사무소 건립공사,철근콘크리트조 지하 1층~지상 4층.,"2,516.03㎡","2,134㎡",753.47㎡,366.94㎡,35.31%,107%,4.1m,17.6m,0대,경기도 안성시,2021.04,착공일로부터 425 일,업무시설(공용의청사-면사무소),"2,516.03 ㎡","6,778,129,921 원","2,693,978 원/㎡",
점동면 공공청사 복합건립사업 건축공사,철근콘크리트조 지하 1층~지상 3층.,"4,566.71㎡","4,731.2㎡","1,941.47㎡",557.98㎡,41.04%,87.25%,3.9m,15.95m,55대,경기도 여주시,2021.04,착공일로부터 546 일,업무시설,"4,566.71 ㎡","14,474,081,046 원","3,169,477 원/㎡","공공업무시설(행정동), 1종근린생활시설(문화동)이 2개의 별동으로 구분됨."
천연물제제 시생산시설 구축공사,철근콘크리트조 지하 0층~지상 2층.,"3,099.24㎡","21,474.5㎡","2,098.08㎡",0㎡,9.77%,14.43%,6m,11.2m,0대,충청북도 제천시,2021.04,착공일로부터 240 일,공장,"3,099.24 ㎡","5,551,652,054 원","1,791,295 원/㎡",없음
신용보증재단중앙회 사옥 건립공사,철근콘크리트조 지하 2층~지상 8층.,"12,785.08㎡","3,634㎡","1,800.8㎡",826.76㎡,49.55%,241.93%,0m,41.3m,95대,세종특별자치시,2021.03,착공일로부터 579 일,"업무시설(일반업무시설), 교육연구시설(연수원)","12,785.08 ㎡","29,708,918,915 원","2,323,718 원/㎡",
동래세무서 청사 신축공사,철근콘크리트조 지하 1층~지상 5층.,"5,341.57㎡","6,604.3㎡",934.27㎡,"1,193㎡",14.15%,66.58%,3.9m,23.5m,100대,부산광역시 연제구,2021.02,착공일로부터 540 일,업무시설,"5,341.57 ㎡","15,719,337,862 원","2,942,831 원/㎡",
춘천교육지원청 청사 이전 신축공사,철근콘크리트조 지하 1층~지상 3층.,"6,982.2㎡","15,368.3㎡","2,317.09㎡","4,266.01㎡",15.08%,38.45%,4.2m,16m,150대,강원도 춘천시,2020.12,착공일로부터 540 일,업무시설(공공업무시설),"6,982.2 ㎡","18,715,291,222 원","2,680,429 원/㎡",
마산동 행정복지센터 신축공사,철근콘크리트조 지하 1층~지상 3층.,"3,689.97㎡","1,998.6㎡",823.63㎡,418.96㎡,41.21%,110.26%,3.9m,13.6m,50대,경기도 김포시,2020.11,착공일로부터 396 일,공공업무시설,"3,689.97 ㎡","9,730,183,785 원","2,636,928 원/㎡",
TBN 충북교통방송 청사 신축공사 건축공사,철근콘크리트조 지하 1층~지상 3층.,"3,142.22㎡","6,611㎡","1,250.82㎡","2,266.07㎡",18.92%,39.79%,5.4m,26.75m,39대,충청북도 청주시 청원구,2020.11,착공일로부터 360 일,국방송통신시설 중 방송,"3,142.22 ㎡","10,814,282,083 원","3,441,606 원/㎡",없음
안동경찰서 신축공사,철근콘크리트조 지하 1층~지상 4층.,"10,138.49㎡","20,923㎡","3,228.82㎡","4,461.47㎡",15.43%,38.91%,4.5m,22m,143대,경상북도 안동시,2020.11,착공일로부터 600 일,공공업무시설,"10,138.49 ㎡","24,628,278,035 원","2,429,186 원/㎡",
영월대체복무단 교육원 및 생활관 신축공사,철근콘크리트조 지하 0층~지상 3층.,"3,767.61㎡","11,213.43㎡","1,336.57㎡","2,505.3㎡",11.92%,33.6%,3.9m,17m,26대,강원도 영월군,2020.11,착공일로부터 396 일,교정시설,"3,767.61 ㎡","10,461,516,174 원","2,776,698 원/㎡",
경찰대학 청사 증축공사,철근콘크리트조 지하 1층~지상 5층.,"9,223㎡","9,488㎡","2,837.99㎡","3,611.26㎡",29.91%,93.92%,4.2m,23.7m,21대,충청남도 아산시,2020.11,착공일로부터 540 일,업무시설,"9,223 ㎡","20,752,468,047 원","2,250,078 원/㎡",
영등포세무서 청사 및 어린이집 신축공사,철근콘크리트조 지하 2층~지상 6층.,"12,148.44㎡","11,643.4㎡","2,256.23㎡","1,920.56㎡",19.38%,60.9%,4m,32.25m,127대,서울특별시 영등포구,2020.11,착공일로부터 660 일,"업무시설(공공업무시설), 노유자시설","12,148.44 ㎡","31,219,043,539 원","2,569,799 원/㎡",
충북진천경찰서 청사이전 신축공사,철근콘크리트조 지하 1층~지상 4층.,"6,355.08㎡","17,480㎡","1,660.17㎡","9,156.42㎡",9.5%,29.56%,4m,18.44m,126대,충청북도 진천군,2020.11,착공일로부터 560 일,업무시설,"6,355.08 ㎡","13,245,182,799 원","2,084,188 원/㎡",
광주법원종합청사 별관 증축 건축공사,철근콘크리트조 지하 1층~지상 6층.,"11,903.54㎡","40,910㎡","1,648.83㎡","6,837.29㎡",4.03%,17.94%,4.5m,32.1m,363대,광주광역시 동구,2020.11,착공일로부터 750 일,공공업무시설,"11,903.54 ㎡","28,372,477,269 원","2,383,533 원/㎡",기존법원 운영 중 공사
신도시 복합커뮤니티센터 건립 건축공사,철근콘크리트조 지하 1층~지상 4층.,"10,816.54㎡","5,519.1㎡","2,767.79㎡","1,089.66㎡",50.15%,133.13%,4.2m,25.58m,100대,경상북도 예천군,2020.10,착공일로부터 600 일,"설공공업무시설,운동시설,제1종근린생활시","10,816.54 ㎡","30,644,701,842 원","2,833,134 원/㎡",없음
울산출입국사무소 신축공사,지하 1층~지상 4층.,"6,790㎡","11,244.8㎡","1,778.41㎡","4,585.88㎡",15.82%,54.23%,4m,21.2m,74대,울산광역시,2020.10,착공일로부터 760 일,공공업무시설,"6,790 ㎡","16,160,653,280 원","2,380,067 원/㎡",
전라북도교육청 별관 증축공사,철근콘크리트조 지하 0층~지상 4층.,"2,985.6㎡","26,155.9㎡","1,173.1㎡",612.1㎡,4.49%,11.41%,4.2m,18.75m,19대,전라북도 완주군,2020.10,착공일로부터 360 일,업무시설(공공청사),"2,985.6 ㎡","9,342,244,916 원","3,129,101 원/㎡",
치료감호소 중증환자 집중치료병동 신축공사,철근콘크리트조 지하 1층~지상 4층.,"14,054.8㎡","110,817㎡","4,099.98㎡","14,312.55㎡",3.7%,10.27%,3.8m,22.36m,57대,충청남도 공주시,2020.09,착공일로부터 990 일,교정 및 군사시설(교정시설),"14,054.8 ㎡","42,975,360,905 원","3,057,700 원/㎡","건물외곽 주벽설치, 기존 기숙사 2동 철거, 기존 지하 시설물(우수BOX,공동구등) 철거/이설, 매립지반으로 파일기초"
양주옥정우체국 건립공사,철근콘크리트조 지하 1층~지상 4층.,"6,732.11㎡","2,556.4㎡","1,653.43㎡",389.93㎡,64.68%,183.92%,4.2m,22.6m,53대,경기도 양주시,2020.09,착공일로부터 794 일,공공업무시설(우체국),"6,732.11 ㎡","15,846,760,274 원","2,353,907 원/㎡",
의성경찰서 신축공사,철근콘크리트조 지하 1층~지상 4층.,"6,234㎡","13,187㎡","1,836.11㎡","3,513.27㎡",13.92%,39.98%,3.9m,18.65m,137대,경상북도 의성군,2020.08,착공일로부터 540 일,공공업무시설,"6,234 ㎡","13,947,448,789 원","2,237,319 원/㎡",
대전지방법원 광역등기소 신축공사,기타 지하 1층~지상 3층.,"4,587㎡","5,805㎡","1,293㎡",1㎡,22.27%,79%,4.2m,4.8m,69대,대전광역시,2020.07,착공일로부터 630 일,청사,"4,587 ㎡","12,529,077,107 원","2,731,432 원/㎡",
통진읍 행정복합청사 신축공사,철골철근콘크리트조 지하 2층~지상 4층.,"15,193.67㎡","8,424.4㎡","2,709.18㎡","1,463.65㎡",32.16%,92.53%,4.2m,21.8m,213대,경기도 김포시,2020.07,착공일로부터 660 일,업무시설(공공청사),"15,193.67 ㎡","36,279,348,728 원","2,387,794 원/㎡",
부천소사경찰서 신축공사,철근콘크리트조 지하 1층~지상 6층.,"10,228.64㎡","12,200㎡","2,414.7㎡","2,526.69㎡",19.79%,67.19%,4.2m,30.6m,207대,경기도 부천시 소사구,2020.06,착공일로부터 540 일,공공업무시설(경찰서),"10,228.64 ㎡","24,494,653,382 원","2,394,713 원/㎡",
전북지방경찰청 순창경찰서 신축 공사,철근콘크리트조 지하 1층~지상 4층.,"5,319.77㎡","6,482.7㎡","1,456.81㎡","1,161.26㎡",22.47%,66.84%,4.2m,18.8m,72대,전라북도 순창군,2020.05,착공일로부터 600 일,공공업무시설(경찰청사),"5,319.77 ㎡","10,974,220,331 원","2,062,913 원/㎡",
남해어업관리단 청사시설 신축 건설공사,철근콘크리트조 지하 0층~지상 4층.,"3,574.22㎡","3,597㎡","1,235.47㎡",541.51㎡,34.35%,99.37%,4.5m,18.7m,45대,제주특별자치도 제주시,2020.04,착공일로부터 430 일,공공업무시설,"3,574.22 ㎡","9,218,953,125 원","2,579,291 원/㎡",
경기도교육청 남부신청사 건립공사,철근콘크리트조 지하 4층~지상 18층.,"43,628.97㎡","4,000㎡","2,626.88㎡",586.09㎡,65.67%,726.89%,4.1m,84.65m,494대,경기도 수원시 영통구,2020.03,착공일로부터 825 일,업무시설,"43,628.97 ㎡","117,497,139,301 원","2,693,099 원/㎡","학생, 현장, 학부모, 교원, 지역사회가 하나되어 소통하고 협력하는 생태계를 구축하는 경기 미래교육 융합공간 "
국립종자원 제주지원 청사 신축 및 포장공사,철근콘크리트조 지하 1층~지상 2층.,"2,139.62㎡","7,405㎡","1,448.37㎡","2,170.45㎡",19.56%,25.88%,2.6m,7.9m,22대,제주특별자치도 제주시,2020.03,착공일로부터 270 일,업무시설,"2,139.62 ㎡","6,363,706,767 원","2,974,223 원/㎡",없음
의정부지방검찰청 남양주지청 신축공사,철근콘크리트조 지하 1층~지상 8층.,"17,455.26㎡","18,000㎡","3,409.55㎡","4,876.05㎡",18.94%,74.91%,4.5m,40.05m,179대,경기도 남양주시,2020.03,착공일로부터 690 일,업무시설,"17,455.26 ㎡","40,016,790,959 원","2,292,535 원/㎡",남양주지원청사까지 지하연결(호송)통로 공사포함
충남청 통합숙영시설 신축 건축공사,지하 1층~지상 4층.,"10,317㎡","16,532㎡","10,317㎡",1㎡,62.41%,62.4%,4.2m,21.35m,110대,충청남도,2020.03,착공일로부터 540 일,업무시설,"10,317 ㎡","23,428,928,169 원","2,270,905 원/㎡",
경기북부경찰청 별관증축사업 건축공사,철근콘크리트조 지하 2층~지상 5층.,"10,979.4㎡","32,867㎡","1,732.62㎡","1,047.1㎡",5.27%,18.63%,4.1m,25.3m,107대,경기도 의정부시,2020.02,착공일로부터 630 일,업무시설,"10,979.4 ㎡","22,896,293,497 원","2,085,387 원/㎡",
국립특수교육원 다목적관 조성 증축공사,철근콘크리트조 지하 0층~지상 3층.,"1,904.55㎡","13,617.2㎡",924.83㎡,"3,776.34㎡",6.79%,13.99%,4.2m,16.85m,74대,충청남도 아산시,2020.01,착공일로부터 270 일,교육연구시설(교육원),"1,904.55 ㎡","4,678,291,218 원","2,456,376 원/㎡",
정부세종 신청사 건설공사,철골철근콘크리트조 지하 3층~지상 15층.,"134,489.31㎡","41,754.52㎡","15,495.49㎡","10,010.16㎡",37.11%,199.53%,4.5m,0m,"1,256대",세종특별자치시,2020.01,착공일로부터 880 일,업무시설(공공청사),"134,489.31 ㎡","325,032,857,688 원","2,416,793 원/㎡",
춘천지검 속초지청 신축공사,철근콘크리트조 지하 0층~지상 0층.,"6,569.38㎡","11,091.5㎡","1,794.64㎡","1,663.73㎡",16.18%,48.95%,4.2m,21.85m,49대,강원도 속초시,2019.11,착공일로부터 900 일,공공청사 업무시설,"6,569.38 ㎡","17,122,981,258 원","2,606,484 원/㎡",
부안해양경찰서 청사신축,철근콘크리트조 지하 1층~지상 5층.,"6,674.27㎡","19,923㎡","2,500.19㎡","6,483.34㎡",12.55%,31.17%,3.8m,23.1m,92대,전라북도 부안군,2019.11,착공일로부터 540 일,업무시설,"6,674.27 ㎡","14,930,894,916 원","2,237,083 원/㎡",
국민건강보험공단 부산사하지사 사옥 신축 건축공사,철근콘크리트조 지하 2층~지상 7층.,"10,258.75㎡","2,976㎡","1,683.29㎡",509.54㎡,56.56%,234.81%,4.2m,30.9m,93대,부산광역시 사하구,2019.11,착공일로부터 570 일,일반업무시설,"10,258.75 ㎡","27,958,674,717 원","2,725,349 원/㎡",대지 북측 인접부지 건축물의 이격거리가 매유 협소함.
보령경찰서 이전 신축 건축공사,철근콘크리트조 지하 1층~지상 4층.,"7,308.07㎡","16,290㎡","1,962.33㎡","3,625㎡",12.05%,36.35%,4.2m,20m,196대,충청남도 보령시,2019.11,착공일로부터 480 일,공공업무시설,"7,308.07 ㎡","15,494,390,186 원","2,120,175 원/㎡",
고용노동부창원지청 신청사 신축공사,철근콘크리트조 지하 1층~지상 3층.,"3,548.47㎡","2,843.2㎡",898.68㎡,485.24㎡,31.61%,81%,3.9m,17.2m,50대,경상남도 창원시 의창구,2019.11,착공일로부터 365 일,업무시설(공공업무시설),"3,548.47 ㎡","7,470,099,203 원","2,105,161 원/㎡",
농림수산식품교육문화정보원 청사 신축공사,철근콘크리트조 지하 1층~지상 4층.,"4,949.47㎡","3,960㎡","1,270.33㎡",608.13㎡,32.08%,116.13%,4.2m,19.14m,49대,세종특별자치시,2019.11,착공일로부터 450 일,일반업무시설(사무소),"4,949.47 ㎡","10,773,421,898 원","2,176,682 원/㎡",
서천군 신청사 건축공사,철근콘크리트조 지하 1층~지상 6층.,"15,670.33㎡","29,572㎡","3,971.2㎡","9,299.86㎡",13.43%,37.93%,4.2m,31.1m,384대,충청남도 서천군,2019.11,착공일로부터 730 일,업무시설(공공업무시설-청사),"15,670.33 ㎡","39,495,228,719 원","2,520,383 원/㎡",
춘천지방법원 속초지원청사 신축공사,철근콘크리트조 지하 1층~지상 5층.,"9,980.98㎡","22,206㎡","2,864.62㎡","1,667.18㎡",12.9%,40.27%,4.4m,24.5m,94대,강원도 속초시,2019.10,"착공일로부터 1,895 일",공공업무시설(공공기관),"9,980.98 ㎡","31,585,991,365 원","3,164,618 원/㎡",
인천지방경찰청 증축공사,철근콘크리트조 지하 1층~지상 8층.,"6,562㎡","22,795.6㎡",122.84㎡,1㎡,0.54%,28.78%,1m,1m,1대,인천광역시,2019.10,착공일로부터 540 일,업무시설,"6,562 ㎡","13,789,711,444 원","2,101,449 원/㎡",
한림읍 청사 신축공사,철근콘크리트조 지하 1층~지상 2층.,"4,989.54㎡","6,766㎡","1,970.84㎡","1,265.48㎡",29.13%,39.01%,4.2m,9.88m,106대,제주특별자치도 제주시,2019.10,착공일로부터 395 일,업무시설 (공공업무시설),"4,989.54 ㎡","11,135,922,066 원","2,231,853 원/㎡",기타 인증사항으로 제로에너지 4등급 예비인증 
창원해양경찰서 청사 신축 공사,철근콘크리트조 지하 1층~지상 4층.,"6,980㎡","10,800㎡","2,470.65㎡","2,662.96㎡",22.88%,63.91%,4.2m,20.65m,117대,경상남도 창원시 마산합포구,2019.10,착공일로부터 540 일,공공업무시설,"6,980 ㎡","17,492,310,131 원","2,506,062 원/㎡",매립지반으로 파일기초 반영함
북대전세무서 청사 신축 공사,철근콘크리트조 지하 1층~지상 5층.,"8,609.77㎡","9,917.3㎡","1,730.02㎡","2,340.77㎡",17.44%,60.31%,4.2m,25.7m,0대,대전광역시 유성구,2019.09,착공일로부터 630 일,업무시설,"8,609.77 ㎡","17,268,510,441 원","2,005,688 원/㎡",
파주지사 사옥 신축공사,철골조 지하 1층~지상 4층.,"4,725.4㎡","2,991.8㎡",869.86㎡,474.83㎡,29.07%,102.9%,4m,18m,80대,경기도 파주시,2019.09,착공일로부터 457 일,공공업무시설,"4,725.4 ㎡","11,814,069,274 원","2,500,120 원/㎡",
국민건강보험공단 평택지사 사옥 신축공사,철근콘크리트조 지하 1층~지상 4층.,"2,999㎡","3,904㎡",830.81㎡,623.58㎡,21.28%,72.9%,0m,17.7m,63대,경기도 평택시,2019.08,착공일로부터 420 일,업무시설,"2,999 ㎡","8,180,777,422 원","2,727,835 원/㎡",성토지반으로 파일기초 계획
목포항(연안포함)VTS신축공사,철근콘크리트조 지하 0층~지상 5층.,"2,730.57㎡","3,075.3㎡",689.53㎡,740.33㎡,22.42%,88.79%,4.2m,25.05m,25대,전라남도 목포시,2019.08,착공일로부터 720 일,업무시설 (공공업무시설),"2,730.57 ㎡","8,779,235,990 원","3,215,166 원/㎡",
부산지방기상청 청사 신축 공사,철근콘크리트조 지하 0층~지상 4층.,"3,317.52㎡","5,598㎡","1,195.58㎡","1,442.15㎡",21.36%,59.26%,4.2m,19.2m,45대,부산광역시,2019.08,착공일로부터 480 일,공공업무시설,"3,317.52 ㎡","11,133,643,759 원","3,356,014 원/㎡",
순천경찰서 청사 신축공사,철근콘크리트조 지하 1층~지상 5층.,"14,341㎡","11,375㎡","3,470.12㎡","2,082.07㎡",30.51%,99.81%,4.2m,24.2m,132대,전라남도 순천시,2019.08,착공일로부터 730 일,업무시설(공공업무시설),"14,341 ㎡","32,323,729,494 원","2,253,938 원/㎡",
여수해양경찰서 청사 신축공사,철근콘크리트조 지하 1층~지상 5층.,"6,779.22㎡","8,361.7㎡","2,330.3㎡","1,487.73㎡",27.87%,74.51%,3.8m,20.97m,97대,전라남도 여수시,2019.08,착공일로부터 180 일,업무시설,"6,779.22 ㎡","14,516,880,644 원","2,141,379 원/㎡",
